Sentiment Score,Sentiment Type,Very positive,Positive,Neutral,Negative,Very negative
1.0,Negative,4.0%,14.0%,32.0%,42.0%,8.0%
2.0,Neutral,1.0%,8.0%,85.0%,6.0%,1.0%
3.0,Positive,8.0%,72.0%,13.0%,5.0%,1.0%
3.0,Positive,11.0%,76.0%,7.0%,4.0%,1.0%
1.0,Negative,1.0%,8.0%,41.0%,44.0%,5.0%
2.0,Neutral,8.0%,29.0%,32.0%,24.0%,7.0%
3.0,Positive,14.0%,43.0%,20.0%,18.0%,5.0%
2.0,Neutral,4.0%,28.0%,42.0%,22.0%,3.0%
3.0,Positive,22.0%,66.0%,7.0%,3.0%,1.0%
1.0,Negative,1.0%,6.0%,29.0%,56.0%,7.0%
2.0,Neutral,5.0%,36.0%,47.0%,10.0%,2.0%
3.0,Positive,18.0%,41.0%,16.0%,17.0%,7.0%
2.0,Neutral,5.0%,40.0%,45.0%,9.0%,2.0%
1.0,Negative,1.0%,2.0%,14.0%,59.0%,24.0%
2.0,Neutral,1.0%,21.0%,63.0%,14.0%,1.0%
1.0,Negative,1.0%,2.0%,41.0%,50.0%,6.0%
1.0,Negative,1.0%,4.0%,26.0%,59.0%,11.0%
2.0,Neutral,5.0%,31.0%,34.0%,26.0%,4.0%
3.0,Positive,9.0%,43.0%,20.0%,23.0%,6.0%
2.0,Neutral,1.0%,8.0%,72.0%,16.0%,2.0%
1.0,Negative,1.0%,1.0%,11.0%,56.0%,30.0%
2.0,Neutral,3.0%,15.0%,43.0%,34.0%,5.0%
2.0,Neutral,4.0%,15.0%,63.0%,14.0%,3.0%
1.0,Negative,1.0%,10.0%,32.0%,50.0%,7.0%
3.0,Positive,6.0%,35.0%,32.0%,22.0%,4.0%
2.0,Neutral,4.0%,28.0%,50.0%,16.0%,3.0%
2.0,Neutral,1.0%,10.0%,54.0%,31.0%,3.0%
1.0,Negative,1.0%,1.0%,22.0%,59.0%,17.0%
1.0,Negative,2.0%,5.0%,35.0%,52.0%,8.0%
2.0,Neutral,4.0%,22.0%,36.0%,32.0%,6.0%
1.0,Negative,1.0%,2.0%,20.0%,66.0%,12.0%
1.0,Negative,1.0%,1.0%,14.0%,45.0%,39.0%
1.0,Negative,2.0%,7.0%,34.0%,50.0%,8.0%
2.0,Neutral,0.0%,3.0%,82.0%,14.0%,1.0%
2.0,Neutral,2.0%,13.0%,58.0%,23.0%,3.0%
3.0,Positive,11.0%,49.0%,20.0%,16.0%,4.0%
3.0,Positive,7.0%,30.0%,30.0%,27.0%,6.0%
1.0,Negative,3.0%,8.0%,33.0%,48.0%,9.0%
2.0,Neutral,2.0%,19.0%,50.0%,26.0%,3.0%
1.0,Negative,0.0%,1.0%,33.0%,63.0%,3.0%
1.0,Negative,2.0%,8.0%,23.0%,55.0%,12.0%
1.0,Negative,0.0%,1.0%,16.0%,70.0%,13.0%
2.0,Neutral,2.0%,13.0%,49.0%,31.0%,5.0%
2.0,Neutral,2.0%,11.0%,47.0%,36.0%,4.0%
2.0,Neutral,1.0%,9.0%,59.0%,28.0%,4.0%
2.0,Neutral,0.0%,11.0%,82.0%,6.0%,1.0%
0.0,Very negative,1.0%,1.0%,12.0%,36.0%,49.0%
2.0,Neutral,3.0%,24.0%,44.0%,24.0%,4.0%
3.0,Positive,6.0%,47.0%,35.0%,10.0%,2.0%
3.0,Positive,6.0%,44.0%,39.0%,9.0%,2.0%
1.0,Negative,1.0%,6.0%,37.0%,48.0%,8.0%
2.0,Neutral,4.0%,26.0%,49.0%,18.0%,3.0%
2.0,Neutral,1.0%,6.0%,59.0%,27.0%,7.0%
1.0,Negative,1.0%,1.0%,12.0%,62.0%,24.0%
3.0,Positive,12.0%,70.0%,11.0%,5.0%,1.0%
3.0,Positive,9.0%,69.0%,18.0%,3.0%,1.0%
3.0,Positive,9.0%,48.0%,31.0%,10.0%,2.0%
3.0,Positive,6.0%,52.0%,31.0%,9.0%,2.0%
1.0,Negative,2.0%,5.0%,26.0%,56.0%,11.0%
1.0,Negative,1.0%,4.0%,23.0%,65.0%,7.0%
1.0,Negative,2.0%,5.0%,24.0%,56.0%,14.0%
2.0,Neutral,2.0%,15.0%,48.0%,30.0%,4.0%
1.0,Negative,2.0%,4.0%,22.0%,55.0%,17.0%
2.0,Neutral,1.0%,8.0%,48.0%,39.0%,4.0%
2.0,Neutral,2.0%,10.0%,60.0%,25.0%,4.0%
1.0,Negative,1.0%,3.0%,20.0%,60.0%,16.0%
1.0,Negative,2.0%,4.0%,16.0%,64.0%,14.0%
1.0,Negative,4.0%,9.0%,15.0%,55.0%,17.0%
1.0,Negative,1.0%,8.0%,31.0%,54.0%,5.0%
2.0,Neutral,4.0%,30.0%,45.0%,18.0%,3.0%
1.0,Negative,4.0%,18.0%,31.0%,40.0%,7.0%
1.0,Negative,2.0%,3.0%,12.0%,63.0%,20.0%
1.0,Negative,1.0%,1.0%,17.0%,63.0%,18.0%
2.0,Neutral,1.0%,8.0%,85.0%,5.0%,1.0%
1.0,Negative,4.0%,15.0%,26.0%,44.0%,11.0%
1.0,Negative,1.0%,3.0%,15.0%,65.0%,15.0%
2.0,Neutral,1.0%,3.0%,62.0%,31.0%,3.0%
1.0,Negative,1.0%,4.0%,29.0%,59.0%,8.0%
4.0,Very positive,51.0%,44.0%,4.0%,0.0%,0.0%
3.0,Positive,5.0%,89.0%,4.0%,2.0%,0.0%
1.0,Negative,2.0%,6.0%,32.0%,51.0%,9.0%
1.0,Negative,0.0%,1.0%,19.0%,69.0%,11.0%
3.0,Positive,6.0%,55.0%,33.0%,5.0%,1.0%
2.0,Neutral,3.0%,22.0%,56.0%,16.0%,3.0%
3.0,Positive,4.0%,57.0%,37.0%,2.0%,0.0%
3.0,Positive,8.0%,38.0%,22.0%,26.0%,6.0%
1.0,Negative,1.0%,2.0%,18.0%,63.0%,16.0%
2.0,Neutral,4.0%,26.0%,40.0%,26.0%,4.0%
1.0,Negative,1.0%,1.0%,24.0%,59.0%,15.0%
3.0,Positive,6.0%,41.0%,35.0%,16.0%,3.0%
1.0,Negative,2.0%,7.0%,42.0%,44.0%,6.0%
1.0,Negative,2.0%,18.0%,36.0%,40.0%,5.0%
1.0,Negative,1.0%,9.0%,34.0%,49.0%,6.0%
1.0,Negative,1.0%,4.0%,31.0%,58.0%,7.0%
2.0,Neutral,0.0%,4.0%,95.0%,1.0%,0.0%
1.0,Negative,2.0%,9.0%,24.0%,53.0%,12.0%
2.0,Neutral,2.0%,21.0%,56.0%,18.0%,3.0%
1.0,Negative,3.0%,9.0%,23.0%,54.0%,13.0%
2.0,Neutral,2.0%,33.0%,35.0%,27.0%,3.0%
3.0,Positive,5.0%,38.0%,23.0%,29.0%,5.0%
3.0,Positive,19.0%,55.0%,10.0%,11.0%,5.0%
2.0,Neutral,1.0%,15.0%,76.0%,8.0%,1.0%
2.0,Neutral,5.0%,33.0%,45.0%,13.0%,3.0%
1.0,Negative,1.0%,6.0%,26.0%,60.0%,7.0%
3.0,Positive,10.0%,30.0%,30.0%,22.0%,7.0%
1.0,Negative,1.0%,3.0%,19.0%,63.0%,14.0%
1.0,Negative,1.0%,4.0%,44.0%,45.0%,6.0%
3.0,Positive,17.0%,59.0%,19.0%,4.0%,1.0%
1.0,Negative,0.0%,1.0%,22.0%,66.0%,10.0%
1.0,Negative,1.0%,3.0%,34.0%,57.0%,6.0%
1.0,Negative,3.0%,12.0%,27.0%,48.0%,10.0%
1.0,Negative,6.0%,17.0%,28.0%,38.0%,12.0%
1.0,Negative,1.0%,2.0%,21.0%,58.0%,17.0%
2.0,Neutral,4.0%,15.0%,63.0%,14.0%,3.0%
2.0,Neutral,2.0%,26.0%,58.0%,12.0%,2.0%
1.0,Negative,1.0%,4.0%,27.0%,57.0%,11.0%
3.0,Positive,5.0%,47.0%,43.0%,5.0%,1.0%
2.0,Neutral,4.0%,15.0%,63.0%,14.0%,3.0%
1.0,Negative,1.0%,2.0%,30.0%,59.0%,8.0%
2.0,Neutral,2.0%,13.0%,52.0%,29.0%,4.0%
2.0,Neutral,2.0%,8.0%,65.0%,23.0%,3.0%
1.0,Negative,2.0%,3.0%,12.0%,66.0%,17.0%
1.0,Negative,3.0%,15.0%,28.0%,45.0%,8.0%
1.0,Negative,0.0%,2.0%,37.0%,54.0%,5.0%
1.0,Negative,3.0%,9.0%,19.0%,53.0%,15.0%
1.0,Negative,2.0%,9.0%,39.0%,44.0%,7.0%
2.0,Neutral,1.0%,16.0%,73.0%,9.0%,1.0%
1.0,Negative,2.0%,5.0%,24.0%,56.0%,13.0%
1.0,Negative,1.0%,1.0%,16.0%,56.0%,25.0%
1.0,Negative,2.0%,5.0%,22.0%,53.0%,18.0%
1.0,Negative,1.0%,2.0%,16.0%,59.0%,22.0%
2.0,Neutral,2.0%,15.0%,60.0%,20.0%,3.0%
1.0,Negative,1.0%,4.0%,27.0%,61.0%,8.0%
1.0,Negative,1.0%,1.0%,17.0%,54.0%,26.0%
3.0,Positive,7.0%,50.0%,22.0%,17.0%,3.0%
3.0,Positive,7.0%,62.0%,29.0%,2.0%,1.0%
1.0,Negative,1.0%,1.0%,18.0%,65.0%,15.0%
2.0,Neutral,5.0%,29.0%,39.0%,22.0%,5.0%
1.0,Negative,3.0%,4.0%,34.0%,46.0%,14.0%
3.0,Positive,6.0%,40.0%,24.0%,25.0%,5.0%
2.0,Neutral,2.0%,10.0%,47.0%,35.0%,6.0%
2.0,Neutral,0.0%,4.0%,89.0%,5.0%,1.0%
2.0,Neutral,5.0%,30.0%,43.0%,19.0%,3.0%
1.0,Negative,1.0%,1.0%,29.0%,57.0%,13.0%
1.0,Negative,2.0%,6.0%,34.0%,51.0%,7.0%
1.0,Negative,1.0%,1.0%,12.0%,59.0%,27.0%
1.0,Negative,1.0%,2.0%,23.0%,58.0%,16.0%
1.0,Negative,2.0%,12.0%,20.0%,55.0%,10.0%
1.0,Negative,2.0%,7.0%,28.0%,52.0%,12.0%
1.0,Negative,1.0%,5.0%,30.0%,55.0%,8.0%
1.0,Negative,1.0%,3.0%,26.0%,56.0%,15.0%
1.0,Negative,1.0%,1.0%,17.0%,52.0%,28.0%
1.0,Negative,1.0%,2.0%,25.0%,61.0%,11.0%
1.0,Negative,2.0%,2.0%,16.0%,46.0%,35.0%
2.0,Neutral,0.0%,3.0%,78.0%,17.0%,1.0%
2.0,Neutral,4.0%,15.0%,63.0%,14.0%,3.0%
1.0,Negative,2.0%,7.0%,37.0%,48.0%,6.0%
1.0,Negative,1.0%,1.0%,14.0%,64.0%,20.0%
1.0,Negative,1.0%,3.0%,17.0%,64.0%,14.0%
2.0,Neutral,0.0%,8.0%,77.0%,14.0%,1.0%
1.0,Negative,1.0%,10.0%,34.0%,50.0%,5.0%
2.0,Neutral,5.0%,29.0%,41.0%,21.0%,4.0%
1.0,Negative,1.0%,3.0%,25.0%,66.0%,5.0%
2.0,Neutral,1.0%,4.0%,55.0%,37.0%,3.0%
1.0,Negative,1.0%,2.0%,31.0%,60.0%,6.0%
2.0,Neutral,1.0%,10.0%,56.0%,29.0%,4.0%
2.0,Neutral,2.0%,29.0%,53.0%,14.0%,2.0%
2.0,Neutral,2.0%,10.0%,44.0%,37.0%,6.0%
1.0,Negative,1.0%,2.0%,12.0%,64.0%,21.0%
2.0,Neutral,1.0%,19.0%,51.0%,25.0%,3.0%
2.0,Neutral,2.0%,19.0%,66.0%,12.0%,1.0%
1.0,Negative,1.0%,5.0%,13.0%,62.0%,20.0%
1.0,Negative,4.0%,21.0%,30.0%,39.0%,6.0%
1.0,Negative,2.0%,5.0%,13.0%,62.0%,18.0%
1.0,Negative,1.0%,2.0%,19.0%,54.0%,24.0%
1.0,Negative,1.0%,3.0%,23.0%,60.0%,13.0%
1.0,Negative,1.0%,1.0%,10.0%,66.0%,22.0%
3.0,Positive,21.0%,74.0%,4.0%,1.0%,1.0%
1.0,Negative,1.0%,8.0%,26.0%,57.0%,7.0%
3.0,Positive,15.0%,70.0%,9.0%,5.0%,2.0%
2.0,Neutral,2.0%,6.0%,47.0%,39.0%,6.0%
1.0,Negative,3.0%,7.0%,30.0%,50.0%,11.0%
1.0,Negative,1.0%,2.0%,30.0%,52.0%,15.0%
2.0,Neutral,1.0%,3.0%,50.0%,41.0%,6.0%
2.0,Neutral,2.0%,17.0%,42.0%,36.0%,4.0%
2.0,Neutral,3.0%,19.0%,55.0%,20.0%,3.0%
2.0,Neutral,1.0%,7.0%,54.0%,32.0%,5.0%
1.0,Negative,2.0%,7.0%,28.0%,54.0%,10.0%
3.0,Positive,8.0%,45.0%,32.0%,12.0%,3.0%
2.0,Neutral,2.0%,17.0%,71.0%,9.0%,1.0%
2.0,Neutral,0.0%,2.0%,53.0%,42.0%,3.0%
1.0,Negative,2.0%,4.0%,9.0%,63.0%,21.0%
1.0,Negative,2.0%,7.0%,27.0%,54.0%,10.0%
2.0,Neutral,3.0%,29.0%,35.0%,28.0%,5.0%
1.0,Negative,1.0%,3.0%,33.0%,56.0%,8.0%
1.0,Negative,1.0%,1.0%,13.0%,55.0%,29.0%
1.0,Negative,2.0%,3.0%,18.0%,59.0%,17.0%
3.0,Positive,12.0%,75.0%,9.0%,3.0%,1.0%
1.0,Negative,1.0%,3.0%,24.0%,53.0%,19.0%
2.0,Neutral,2.0%,10.0%,44.0%,37.0%,6.0%
2.0,Neutral,1.0%,8.0%,64.0%,25.0%,2.0%
2.0,Neutral,1.0%,5.0%,50.0%,36.0%,8.0%
2.0,Neutral,4.0%,15.0%,63.0%,14.0%,3.0%
1.0,Negative,1.0%,1.0%,16.0%,69.0%,14.0%
2.0,Neutral,1.0%,9.0%,65.0%,23.0%,2.0%
1.0,Negative,2.0%,5.0%,20.0%,60.0%,13.0%
2.0,Neutral,1.0%,11.0%,65.0%,20.0%,2.0%
2.0,Neutral,6.0%,31.0%,42.0%,17.0%,4.0%
1.0,Negative,3.0%,23.0%,30.0%,36.0%,8.0%
1.0,Negative,1.0%,3.0%,29.0%,60.0%,8.0%
1.0,Negative,2.0%,9.0%,31.0%,50.0%,7.0%
1.0,Negative,2.0%,10.0%,41.0%,42.0%,5.0%
1.0,Negative,1.0%,3.0%,25.0%,58.0%,13.0%
1.0,Negative,2.0%,12.0%,27.0%,51.0%,9.0%
1.0,Negative,1.0%,6.0%,31.0%,54.0%,8.0%
3.0,Positive,17.0%,74.0%,7.0%,2.0%,1.0%
2.0,Neutral,2.0%,7.0%,59.0%,26.0%,6.0%
1.0,Negative,1.0%,10.0%,39.0%,45.0%,5.0%
2.0,Neutral,4.0%,29.0%,48.0%,17.0%,3.0%
3.0,Positive,9.0%,80.0%,8.0%,3.0%,1.0%
1.0,Negative,1.0%,3.0%,17.0%,60.0%,19.0%
1.0,Negative,0.0%,2.0%,41.0%,53.0%,4.0%
1.0,Negative,1.0%,2.0%,16.0%,65.0%,16.0%
1.0,Negative,2.0%,8.0%,17.0%,63.0%,10.0%
1.0,Negative,2.0%,8.0%,37.0%,43.0%,10.0%
2.0,Neutral,2.0%,10.0%,58.0%,27.0%,4.0%
2.0,Neutral,1.0%,8.0%,85.0%,5.0%,1.0%
1.0,Negative,3.0%,10.0%,25.0%,52.0%,11.0%
3.0,Positive,23.0%,65.0%,7.0%,4.0%,2.0%
2.0,Neutral,1.0%,15.0%,69.0%,13.0%,2.0%
3.0,Positive,1.0%,97.0%,1.0%,1.0%,0.0%
1.0,Negative,2.0%,3.0%,19.0%,59.0%,18.0%
2.0,Neutral,1.0%,13.0%,64.0%,21.0%,2.0%
1.0,Negative,1.0%,5.0%,32.0%,49.0%,13.0%
2.0,Neutral,1.0%,24.0%,67.0%,7.0%,1.0%
2.0,Neutral,2.0%,15.0%,62.0%,19.0%,3.0%
1.0,Negative,2.0%,7.0%,21.0%,57.0%,14.0%
2.0,Neutral,1.0%,7.0%,66.0%,23.0%,3.0%
2.0,Neutral,2.0%,13.0%,40.0%,39.0%,6.0%
1.0,Negative,4.0%,7.0%,13.0%,56.0%,20.0%
3.0,Positive,8.0%,72.0%,17.0%,2.0%,1.0%
2.0,Neutral,1.0%,18.0%,73.0%,7.0%,1.0%
1.0,Negative,0.0%,2.0%,39.0%,52.0%,7.0%
1.0,Negative,2.0%,7.0%,31.0%,51.0%,9.0%
1.0,Negative,1.0%,2.0%,21.0%,62.0%,14.0%
3.0,Positive,34.0%,55.0%,7.0%,2.0%,1.0%
1.0,Negative,2.0%,10.0%,38.0%,44.0%,7.0%
2.0,Neutral,1.0%,6.0%,53.0%,35.0%,5.0%
2.0,Neutral,1.0%,8.0%,43.0%,42.0%,5.0%
1.0,Negative,2.0%,2.0%,15.0%,50.0%,31.0%
2.0,Neutral,2.0%,16.0%,44.0%,34.0%,4.0%
3.0,Positive,7.0%,37.0%,31.0%,20.0%,4.0%
2.0,Neutral,2.0%,20.0%,61.0%,16.0%,2.0%
2.0,Neutral,2.0%,7.0%,60.0%,27.0%,5.0%
1.0,Negative,2.0%,10.0%,20.0%,59.0%,9.0%
1.0,Negative,2.0%,7.0%,33.0%,48.0%,9.0%
2.0,Neutral,0.0%,6.0%,73.0%,19.0%,2.0%
1.0,Negative,1.0%,2.0%,22.0%,60.0%,16.0%
3.0,Positive,28.0%,70.0%,2.0%,0.0%,0.0%
1.0,Negative,4.0%,13.0%,28.0%,46.0%,9.0%
1.0,Negative,1.0%,3.0%,35.0%,55.0%,6.0%
1.0,Negative,2.0%,9.0%,33.0%,49.0%,7.0%
2.0,Neutral,3.0%,23.0%,45.0%,26.0%,4.0%
1.0,Negative,6.0%,18.0%,21.0%,43.0%,12.0%
2.0,Neutral,2.0%,13.0%,56.0%,26.0%,3.0%
3.0,Positive,9.0%,40.0%,11.0%,32.0%,8.0%
3.0,Positive,9.0%,74.0%,13.0%,3.0%,1.0%
1.0,Negative,2.0%,2.0%,16.0%,53.0%,27.0%
2.0,Neutral,2.0%,9.0%,59.0%,27.0%,4.0%
2.0,Neutral,1.0%,13.0%,69.0%,15.0%,2.0%
1.0,Negative,3.0%,16.0%,32.0%,43.0%,6.0%
1.0,Negative,7.0%,24.0%,25.0%,36.0%,8.0%
3.0,Positive,8.0%,42.0%,36.0%,11.0%,3.0%
1.0,Negative,1.0%,3.0%,21.0%,61.0%,14.0%
2.0,Neutral,1.0%,14.0%,75.0%,9.0%,1.0%
1.0,Negative,2.0%,8.0%,28.0%,53.0%,10.0%
1.0,Negative,1.0%,2.0%,11.0%,61.0%,25.0%
3.0,Positive,5.0%,38.0%,38.0%,17.0%,3.0%
2.0,Neutral,0.0%,3.0%,75.0%,21.0%,1.0%
1.0,Negative,2.0%,4.0%,22.0%,54.0%,18.0%
1.0,Negative,1.0%,5.0%,30.0%,53.0%,10.0%
1.0,Negative,4.0%,9.0%,23.0%,49.0%,15.0%
3.0,Positive,9.0%,36.0%,33.0%,17.0%,5.0%
1.0,Negative,2.0%,15.0%,28.0%,48.0%,6.0%
1.0,Negative,2.0%,10.0%,33.0%,47.0%,7.0%
3.0,Positive,11.0%,69.0%,16.0%,3.0%,1.0%
1.0,Negative,4.0%,20.0%,29.0%,40.0%,7.0%
3.0,Positive,9.0%,64.0%,24.0%,2.0%,1.0%
3.0,Positive,3.0%,55.0%,37.0%,5.0%,1.0%
3.0,Positive,25.0%,61.0%,6.0%,5.0%,3.0%
1.0,Negative,3.0%,9.0%,19.0%,55.0%,13.0%
1.0,Negative,1.0%,2.0%,16.0%,65.0%,15.0%
2.0,Neutral,2.0%,27.0%,66.0%,5.0%,1.0%
1.0,Negative,0.0%,2.0%,28.0%,63.0%,7.0%
1.0,Negative,1.0%,3.0%,45.0%,46.0%,5.0%
3.0,Positive,41.0%,56.0%,2.0%,1.0%,0.0%
1.0,Negative,1.0%,3.0%,19.0%,66.0%,12.0%
